=== Dispose Chain Audit (R233 §13.4 强约束) ===
Service | dispose | shutdown | close | cleanup | _do_dispose | on_dispose
🔴 bond_service.py                                  | False | False | False | False | False | False
🔴 fund_service.py                                  | False | False | False | False | False | False
🔴 index_service.py                                 | False | False | False | False | False | False
🟢 market_service.py                                | True | False | False | False | True | False
🟢 network_service.py                               | True | False | False | False | True | False
🟢 security_service.py                              | True | False | False | False | True | False
🟢 data_service.py                                  | True | False | False | False | True | False
🟢 plugin_service.py                                | True | False | False | False | True | False
🔴 data_masking_service.py                          | False | False | False | False | False | False
🔴 database_monitoring_service.py                   | False | False | False | False | False | False
🔴 distributed_service.py                           | False | False | False | False | False | False
🟢 distributed_http_bridge.py                       | False | False | True | False | False | False
🔴 fallback_service.py                              | False | False | False | False | False | False
🔴 fault_tolerance_manager.py                       | False | False | False | False | False | False
🟢 macro_economic_data_manager.py                   | False | False | False | True | False | False
🔴 fundamental_data_manager.py                      | False | False | False | False | False | False
🔴 tdx_server_discovery.py                          | False | False | False | False | False | False
🟢 tensorflow_gpu_manager.py                        | False | False | False | True | False | False
🟢 sector_data_service.py                           | False | False | False | True | False | False
🟢 sector_fund_flow_service.py                      | False | False | False | True | False | False
🔴 dividend_data_service.py                         | False | False | False | False | False | False
🟢 realtime_compute_engine.py                       | False | False | False | True | False | False
🟢 realtime_compute_engine.py                       | False | False | False | True | False | False
🟢 unified_chart_service.py                         | True | False | False | False | False | False
🟢 routing_rule_manager.py                          | False | False | False | True | False | False
🔴 feature_control_service.py                       | False | False | False | False | False | False
🟢 progress_persistence_manager.py                  | False | False | False | True | False | False
🟢 lifecycle_service.py                             | True | False | False | False | True | False
🟢 notification_service.py                          | True | False | False | False | True | False
🟢 strategy_service.py                              | True | False | False | True | True | False
🟢 trading_service.py                               | True | False | False | False | True | False
🟢 cache_service.py                                 | True | False | False | True | True | False
🟢 database_service.py                              | True | False | True | True | True | False
🔴 enhanced_data_manager.py                         | False | False | False | False | False | False
🟢 unified_data_manager.py                          | True | False | False | True | False | False
🟢 bettafish_monitoring_service.py                  | False | True | False | False | False | False
🟢 bettafish_advanced_monitoring_service.py         | False | True | False | False | False | False
🔴 enhanced_performance_bridge.py                   | False | False | False | False | False | False
🟢 enhanced_realtime_data_manager.py                | False | False | False | True | False | False
🔴 llm_config_service.py                            | False | False | False | False | False | False
🔴 integrated_signal_aggregator_service.py          | False | False | False | False | False | False
🔴 deep_analysis_service.py                         | False | False | False | False | False | False
🔴 model_training_service.py                        | False | False | False | False | False | False
🟢 analysis_service.py                              | True | False | False | False | True | False
🟢 industry_service.py                              | True | False | False | False | True | False
🟢 stock_service.py                                 | True | False | False | False | True | False
🟢 chart_service.py                                 | True | False | False | False | True | False
🟢 alert_deduplication_service.py                   | True | False | False | True | False | False
🟢 alert_rule_engine.py                             | True | False | False | False | False | False
🟢 ai_explainability_service.py                     | True | False | False | False | True | False
🟢 ai_prediction_service.py                         | True | False | False | False | False | False
🟢 extension_service.py                             | True | False | False | False | False | False
🟢 environment_service.py                           | True | False | False | False | True | False
🔴 cloud_api_service.py                             | False | False | False | False | False | False
🔴 funding_rate_analysis_service.py                 | False | False | False | False | False | False
🔴 funding_rate_analysis_service.py                 | False | False | False | False | False | False
🔴 market_cap_calculator.py                         | False | False | False | False | False | False
🟢 performance_baseline_service.py                  | True | False | False | False | False | False
🟢 performance_service.py                           | True | False | False | False | True | False
🔴 unified_cache_provider.py                        | False | False | False | False | False | False
🔴 unified_cache_service.py                         | False | False | False | False | False | False
🟢 unified_data_quality_monitor.py                  | False | True | False | False | False | False
